iter	Logloss
0	0.6434560088
1	0.5958698536
2	0.5524684232
3	0.5170790303
4	0.4842223412
5	0.4571939576
6	0.434774053
7	0.4130112229
8	0.3940938607
9	0.3780264148
10	0.364175303
11	0.3500620817
12	0.3384701934
13	0.3289061756
14	0.3198591477
15	0.3115400231
16	0.3048861315
17	0.298722053
18	0.2931326992
19	0.2880671571
20	0.283402426
21	0.2788775595
22	0.274418485
23	0.2707469431
24	0.2668998157
25	0.2639439802
26	0.2612592838
27	0.2584677043
28	0.2563022053
29	0.2529653163
30	0.2511956873
31	0.2499189309
32	0.2482872274
33	0.2458044025
34	0.2431588329
35	0.2410530127
36	0.2391012534
37	0.2376955863
38	0.2363372263
39	0.2348192975
40	0.2331603157
41	0.2315762935
42	0.2307711588
43	0.2294997107
44	0.2283660003
45	0.2272905317
46	0.2258071686
47	0.2243398881
48	0.2233664604
49	0.2221180297
50	0.2210968142
51	0.2200733969
52	0.2188291406
53	0.2172445507
54	0.2165972414
55	0.2159996433
56	0.2151400745
57	0.2142407483
58	0.2134601262
59	0.212457702
60	0.2112105184
61	0.2101489114
62	0.2089295916
63	0.2078031934
64	0.2070986159
65	0.2062173866
66	0.2045065618
67	0.2031683864
68	0.2019569977
69	0.2007709674
70	0.1996178282
71	0.1985175461
72	0.1978435103
73	0.1965937548
74	0.1951662395
75	0.1941856628
76	0.1931478021
77	0.1925252349
78	0.1917668616
79	0.1912281958
80	0.190575179
81	0.1901256522
82	0.1896234781
83	0.1890779597
84	0.1882050733
85	0.1874139428
86	0.1863940716
87	0.1857113412
88	0.1846501847
89	0.1836059585
90	0.1828578981
91	0.1820074513
92	0.1813026534
93	0.1808342159
94	0.1798897614
95	0.1793255503
96	0.1786518813
97	0.1781370165
98	0.1776223836
99	0.1769934218
100	0.1763051621
101	0.1756272231
102	0.1747734922
103	0.1743308702
104	0.1738224899
105	0.1735902317
106	0.172534479
107	0.1717979064
108	0.1710226757
109	0.1702201168
110	0.1694734169
111	0.1690817377
112	0.1682757098
113	0.167599719
114	0.1669846101
115	0.1662861951
116	0.1654445988
117	0.1647463912
118	0.1639955301
119	0.1631470587
120	0.1624521767
121	0.1620035783
122	0.1614769902
123	0.1608864023
124	0.1602791432
125	0.1599585667
126	0.1591805179
127	0.1583138146
128	0.1580153647
129	0.1574106778
130	0.1563069635
131	0.1556177189
